Pregunta,Intencion,clean_txt
servicio debito automatico pagar,Cat_129,servicio debito automatico pagar
tarjeta suspendida,Cat_286,tarjeta suspendida
cuanto paga la letra del banco central?,Cat_155,cuanto paga la letra del banco central
cual es el tipo de cambio si deposito dolares?,Cat_166,cual es el tipo de cambio si deposito dolares
generar clave pedir ingresar tarjeta debitar terminar ultimos número tarjeta,Cat_1,generar clave pedir ingresar tarjeta debitar terminar ultimos numero tarjeta
opcion saldar deuda,Cat_192,opcion saldar deuda
estado y ubicación de reimpresiones de las tarjetas,Cat_293,estado y ubicacion de reimpresiones de las tarjetas
pagar iibb,Cat_132,pagar iibb
entregaron la tarjeta santader rio credito lo sucede mi nombre es brisa y lo pusieron bris,Cat_315,entregaron la tarjeta santader rio credito lo sucede mi nombre es brisa y lo pusieron bris
quisiera solicitar la tarjeta,Cat_337,quisiera solicitar la tarjeta
como trabajar en santander,Cat_102,como trabajar en santander
puedo pasarle la deuda del hipotecario a otra persona,Cat_257,puedo pasarle la deuda del hipotecario a otra persona
puedo comprar una propiedad para un familiar con el prestamo hipotecario uva?,Cat_256,puedo comprar una propiedad para un familiar con el prestamo hipotecario uva
el pago de mi tarjeta esta atrasado,Cat_192,el pago de mi tarjeta esta atrasado
quiero extender los limites de mis tarjetas,Cat_302,quiero extender los limites de mis tarjetas
el televisor se rompió y llamo para hacer la denuncia,Cat_265,el televisor se rompio y llamo para hacer la denuncia
comisionar cobrar recibir transferencia dólar exterior,Cat_31,comisionar cobrar recibir transferencia dolar exterior
en que estado se encuentra el tramite de mi prestamo que estoy solicitando?,Cat_215,en que estado se encuentra el tramite de mi prestamo que estoy solicitando
como recupero mi password,Cat_1,como recupero mi password
quiero crear una cuenta de online banking,Cat_3,quiero crear una cuenta de online banking
soy beneficiaria de auh fui al cajero y no me depositaron y anses me dijo que el pago esta echo,Cat_37,soy beneficiaria de auh fui al cajero y no me depositaron y anses me dijo que el pago esta echo
quiero obtener mi tarjeta de debito,Cat_39,quiero obtener mi tarjeta de debito
como procedo si quiero simular un hipotecario?,Cat_251,como procedo si quiero simular un hipotecario
la renovación de la tarjeta todavía no llego,Cat_293,la renovacion de la tarjeta todavia no llego
nesecito sacar un prestamo,Cat_223,nesecito sacar un prestamo
tengo un problema con el home banking no me deja sacar comprobantes de pago de servicios,Cat_117,tengo un problema con el home banking no me deja sacar comprobantes de pago de servicios
quisiera saber si mi cuenta esta bloqueada o esta emabrgada,Cat_51,quisiera saber si mi cuenta esta bloqueada o esta emabrgada
querer comisionar transferir euro exterior,Cat_31,querer comisionar transferir euro exterior
quisiera saber si los debitos que adheri a mi tarjeta de credito se pagaron este mes o aun no ha impactado su pago,Cat_98,quisiera saber si los debitos que adheri a mi tarjeta de credito se pagaron este mes o aun no ha impactado su pago
quiero saber en que estado está un desconocimiento de compra que hice el mes pasado,Cat_112,quiero saber en que estado esta un desconocimiento de compra que hice el mes pasado
cómo hacer para no recibir más información del banco?,Cat_136,como hacer para no recibir mas informacion del banco
cómo hago para que me entiendas,Cat_25,como hago para que me entiendas
necesito saber como tengo que hacer para elevar el limite de compra de mis tarjetas por motivo de un viaje,Cat_302,necesito saber como tengo que hacer para elevar el limite de compra de mis tarjetas por motivo de un viaje
pago adeudo,Cat_192,pago adeudo
en que fecha cierra mi tarjeta?,Cat_341,en que fecha cierra mi tarjeta
quisiera reemplazar la tarjeta de debito,Cat_316,quisiera reemplazar la tarjeta de debito
quiero dar de baja la adhesión al debito automatico de la patente automotor,Cat_292,quiero dar de baja la adhesion al debito automatico de la patente automotor
como hago para encontrar la cotizacion de dólar?,Cat_166,como hago para encontrar la cotizacion de dolar
me indicás donde está el cierre de sesion,Cat_0,me indicas donde esta el cierre de sesion
donde puedo simular mi precio de prestamo hipotecario,Cat_251,donde puedo simular mi precio de prestamo hipotecario
quiero saber el estado de un pedido,Cat_118,quiero saber el estado de un pedido
se me vencen a fin de mes y queria saber si las mandaban o habia q pedirlas.,Cat_316,se me vencen a fin de mes y queria saber si las mandaban o habia q pedirlas
supervivencia,Cat_88,supervivencia
queria consultar a mi ya me llegue la tarjeta nueva pero la anterior aun sigue vigente es decir no venció‚äö¬¨√ö¬°¬¨í‚ç¨¬¶¬°¬¨‚ç¨≈°¬¨√≠‚ä¶¬°¬¨¬π,Cat_316,queria consultar a mi ya me llegue la tarjeta nueva pero la anterior aun sigue vigente es decir no vencio ao¬ √o¬°¬ i c ¬ ¬°¬ c ≈°¬ √= a ¬°¬ ¬π
adherirme debitar automatico boleta luz,Cat_132,adherirme debitar automatico boleta luz
blanqueo de pin,Cat_288,blanqueo de pin
costos de infinity platinum,Cat_96,costos de infinity platinum
solicite la baja de una cuenta ahora me dicen que me tengo q acercar a la sucursal a firmar la baja de la cuenta quiero que alguien me solucione esto.,Cat_41,solicite la baja de una cuenta ahora me dicen que me tengo q acercar a la sucursal a firmar la baja de la cuenta quiero que alguien me solucione esto
como hago para depositar dinero en mi cuenta por el cajero,Cat_110,como hago para depositar dinero en mi cuenta por el cajero
quiero avisar que perdí la chequera,Cat_48,quiero avisar que perdi la chequera
cuales son los requisitos para un prestamo prendario?,Cat_248,cuales son los requisitos para un prestamo prendario
reclame el envio de la tarjeta visa adicional para mi marido,Cat_293,reclame el envio de la tarjeta visa adicional para mi marido
quien ganó el sorteo de ayer?,Cat_144,quien gano el sorteo de ayer
cerrar pagina,Cat_0,cerrar pagina
número telefónico sucursal,Cat_147,numero telefonico sucursal
quiero cobrar mi jubilacion por ese banco. que debo hacer,Cat_63,quiero cobrar mi jubilacion por ese banco que debo hacer
te queria preguntar donde canjeo mi entrada que compre con los puntos superclub?,Cat_322,te queria preguntar donde canjeo mi entrada que compre con los puntos superclub
por que no puedo hacer compras con debito?,Cat_286,por que no puedo hacer compras con debito
puedo depositar cheques en otra sucursal que no sea la mia?,Cat_49,puedo depositar cheques en otra sucursal que no sea la mia
estoy averiguando para pedir un préstamo para comprar terreno,Cat_228,estoy averiguando para pedir un prestamo para comprar terreno
queria sacar del debito automatico mi tarjeta de credito visa,Cat_345,queria sacar del debito automatico mi tarjeta de credito visa
quiero saber cuando me llega el resumen para pagar,Cat_138,quiero saber cuando me llega el resumen para pagar
quiero solicitar tarjeta visa,Cat_337,quiero solicitar tarjeta visa
cómo elimino una cuenta desde el homebanking,Cat_41,como elimino una cuenta desde el homebanking
debo acreditar mi sueldo en el banco para solicitar el prestamo prendario?,Cat_238,debo acreditar mi sueldo en el banco para solicitar el prestamo prendario
reenvío tarjeta de debito,Cat_316,reenvio tarjeta de debito
necesito sacar plata cajero exterior,Cat_287,necesito sacar plata cajero exterior
numero de telefono de atencion al cliente,Cat_147,numero de telefono de atencion al cliente
quisiera saber por que me llaman por telefono desde el departamentos de cobranzas. el cliente al que buscan no vive en este domicilio.,Cat_193,quisiera saber por que me llaman por telefono desde el departamentos de cobranzas el cliente al que buscan no vive en este domicilio
pague la tarjeta y posteriormente se me debito nuevamente.,Cat_350,pague la tarjeta y posteriormente se me debito nuevamente
existe alguna forma de poder financiar los costos de escribania para la firma de una escritura de hipoteca?,Cat_210,existe alguna forma de poder financiar los costos de escribania para la firma de una escritura de hipoteca
pueden mandar alertas del vencimiento de facturas  servicios impuestos por home banking?,Cat_125,pueden mandar alertas del vencimiento de facturas servicios impuestos por home banking
en el caso de préstarmo prendario  existe una extension de plazo de la deuda?,Cat_230,en el caso de prestarmo prendario existe una extension de plazo de la deuda
para retirar de mi cuenta dinero lo puedo hacer en cualquier sucursal y a su vez en el mismo dia en varias?,Cat_128,para retirar de mi cuenta dinero lo puedo hacer en cualquier sucursal y a su vez en el mismo dia en varias
quiero que me den un préstamo,Cat_223,quiero que me den un prestamo
queria saber como y de donde descargo el softwar de seguridad para activar la clave token para mis transferencias bancaria.,Cat_5,queria saber como y de donde descargo el softwar de seguridad para activar la clave token para mis transferencias bancaria
que beneficios tengo al usar mi billetera virtual todo pago?,Cat_285,que beneficios tengo al usar mi billetera virtual todo pago
avisa mail comprar hacer,Cat_112,avisa mail comprar hacer
quiero simular un plazo fijo para ver el dinero,Cat_181,quiero simular un plazo fijo para ver el dinero
me atrase en los pagos,Cat_99,me atrase en los pagos
historial de pago de impuestos,Cat_98,historial de pago de impuestos
quiero estudio juridico derivaron deuda,Cat_191,quiero estudio juridico derivaron deuda
cobro jubilación banco tarjeta,Cat_337,cobro jubilacion banco tarjeta
costo salir fondo,Cat_96,costo salir fondo
cancelar debito automatico tarjeta,Cat_345,cancelar debito automatico tarjeta
quisiera saber si ya esta renovado mi plazo fijo,Cat_180,quisiera saber si ya esta renovado mi plazo fijo
no me devolvieron la bonificacion por la carga se sube,Cat_312,no me devolvieron la bonificacion por la carga se sube
necesitar rechazar debitar automatico caja ahorrar,Cat_129,necesitar rechazar debitar automatico caja ahorrar
necesito renovar un plazo fijo,Cat_181,necesito renovar un plazo fijo
quisiera ver mi saldo impositivo,Cat_137,quisiera ver mi saldo impositivo
una deuda de la tarjeta de credito  como arreglo,Cat_192,una deuda de la tarjeta de credito como arreglo
querer poder debitar servicio cablevision,Cat_129,querer poder debitar servicio cablevision
número telefónico de sucursal,Cat_147,numero telefonico de sucursal
cargué la sube a traves de online banking por el descuento y no me lo hicieron.,Cat_312,cargue la sube a traves de online banking por el descuento y no me lo hicieron
transferí pesos a otra cuenta de santander rio. y no se acredito todabia...... y el comprobante dice tranferencia inmediata,Cat_77,transferi pesos a otra cuenta de santander rio y no se acredito todabia y el comprobante dice tranferencia inmediata
queria saber por el prestamo preacordado,Cat_225,queria saber por el prestamo preacordado
se puede pagar el sueldo desde mi cuenta,Cat_69,se puede pagar el sueldo desde mi cuenta
como hago para actualizar mis datos personales?,Cat_103,como hago para actualizar mis datos personales
quiero informar sobre robo a vivienda,Cat_265,quiero informar sobre robo a vivienda
cómo puedo comprar bonos?,Cat_157,como puedo comprar bonos
fondo insuficiente tarjeta,Cat_303,fondo insuficiente tarjeta
no tengo cuenta sueldo en santander puedo pedir el préstamo hipotecario igual?,Cat_248,no tengo cuenta sueldo en santander puedo pedir el prestamo hipotecario igual
reclamar entregar dinero cajero banelco,Cat_297,reclamar entregar dinero cajero banelco
debitar seguro caja,Cat_129,debitar seguro caja
queria consultar si puedo sacar un prestamo ??,Cat_248,queria consultar si puedo sacar un prestamo
quiero blanquear el pin de mi tarjeta de débito porq se me bloqueo,Cat_288,quiero blanquear el pin de mi tarjeta de debito porq se me bloqueo
quiero saber cuanto está telecom y telefónica,Cat_168,quiero saber cuanto esta telecom y telefonica
quiero recibir el resumen en papel,Cat_138,quiero recibir el resumen en papel
pago vencimiento tarjeta credito pasa,Cat_349,pago vencimiento tarjeta credito pasa
puedo pagar menos del total del saldo a pagar de la tarjeta?,Cat_342,puedo pagar menos del total del saldo a pagar de la tarjeta
que documentacion necesito para la apertura de una cuenta corriente de una persona fisica,Cat_39,que documentacion necesito para la apertura de una cuenta corriente de una persona fisica
quiero consultarte por el limite de la tarjeta,Cat_303,quiero consultarte por el limite de la tarjeta
necesito dar stop debito a la cuenta de telecom,Cat_145,necesito dar stop debito a la cuenta de telecom
cual es mi limite de compra con cada tarjeta en dolares.,Cat_303,cual es mi limite de compra con cada tarjeta en dolares
puedo sacar un credito hipotecario?,Cat_223,puedo sacar un credito hipotecario
vos podras pasarme el cbu de mi cuena?,Cat_42,vos podras pasarme el cbu de mi cuena
a quien le puedo consultar por una comisión?,Cat_96,a quien le puedo consultar por una comision
hago dejar ser cliente,Cat_41,hago dejar ser cliente
para preguntar por un credito,Cat_225,para preguntar por un credito
necesito pagar cuentas,Cat_132,necesito pagar cuentas
quiero agendar compromiso pago,Cat_191,quiero agendar compromiso pago
cuanto tardan en responder luego de la preaprobacion de un préstamo hipotecario?,Cat_243,cuanto tardan en responder luego de la preaprobacion de un prestamo hipotecario
solicitar tarjeta de credito,Cat_337,solicitar tarjeta de credito
programa de puesta en marcha y expansión para emprendedoras,Cat_357,programa de puesta en marcha y expansion para emprendedoras
quiero dar de baja el seguro de mi camioneta,Cat_262,quiero dar de baja el seguro de mi camioneta
comunico el pago de deuda,Cat_195,comunico el pago de deuda
crear una alerta,Cat_125,crear una alerta
necesito el numero para comunicarme al banco,Cat_147,necesito el numero para comunicarme al banco
no soy cliente del banco y queria averiguar si hay ccreditos,Cat_248,no soy cliente del banco y queria averiguar si hay ccreditos
se me perdió la tarjeta como hago,Cat_294,se me perdio la tarjeta como hago
hace tiempo di de baja del debito automatico algunos servicios  pero vi que me los siguen cobrando.,Cat_292,hace tiempo di de baja del debito automatico algunos servicios pero vi que me los siguen cobrando
quiero habilitar un nuevo receptor de transferencias y el sistema no me lo permite.,Cat_76,quiero habilitar un nuevo receptor de transferencias y el sistema no me lo permite
pasa pago tarjeta,Cat_349,pasa pago tarjeta
ahorro peluqueria,Cat_311,ahorro peluqueria
quiero saber si hay un debito adherido a mi visa,Cat_93,quiero saber si hay un debito adherido a mi visa
vacación pagar tarjeta querer,Cat_342,vacacion pagar tarjeta querer
cómo hago para que me paguen el sueldo en santander?,Cat_72,como hago para que me paguen el sueldo en santander
para pedir un adentanto de efectivo con tarjeta visa que tramite se realiza?,Cat_298,para pedir un adentanto de efectivo con tarjeta visa que tramite se realiza
necesito saber cuando van a tener disponible el resumen online,Cat_138,necesito saber cuando van a tener disponible el resumen online
puedo hacer un plazo fijo por otro medio que no sea online banking?,Cat_181,puedo hacer un plazo fijo por otro medio que no sea online banking
quiero hacer una solicitud de chequeras,Cat_44,quiero hacer una solicitud de chequeras
sigo esperando q me manden la tarjeta nueva,Cat_293,sigo esperando q me manden la tarjeta nueva
cuales son los beneficios de visa credito?,Cat_311,cuales son los beneficios de visa credito
quiero registrarme en superclub,Cat_299,quiero registrarme en superclub
tengo la tarjeta inhabilitar a por cip erroneo,Cat_288,tengo la tarjeta inhabilitar a por cip erroneo
donde se escritura?,Cat_207,donde se escritura
quisiera saber los plazos máximos del préstamo hipotecario,Cat_242,quisiera saber los plazos maximos del prestamo hipotecario
como se cuanto me pueden prestar para comprar una casa,Cat_236,como se cuanto me pueden prestar para comprar una casa
aderirme a addvantage,Cat_299,aderirme a addvantage
necesito generar un vep,Cat_132,necesito generar un vep
blanquear clave de letra,Cat_288,blanquear clave de letra
puedo pagar mastercard de los autoservicios del banco?,Cat_342,puedo pagar mastercard de los autoservicios del banco
puedo solicitar un préstamo personal para remodelar un inmueble?,Cat_228,puedo solicitar un prestamo personal para remodelar un inmueble
quiero empezar a sumar millas,Cat_274,quiero empezar a sumar millas
estoy averiguando para pedir un préstamo para comprar terreno,Cat_228,estoy averiguando para pedir un prestamo para comprar terreno
hace dias intentando comunicarme y nadie contesta necesito solucionar un inconveniente que tengo con mi cuenta,Cat_29,hace dias intentando comunicarme y nadie contesta necesito solucionar un inconveniente que tengo con mi cuenta
prestamo personal atrasado,Cat_240,prestamo personal atrasado
como desvincularme de mi cuenta sueldo?,Cat_41,como desvincularme de mi cuenta sueldo
usar limite descubierto,Cat_56,usar limite descubierto
puedo pedir la baja de seguros de la cuenta de un familiar,Cat_262,puedo pedir la baja de seguros de la cuenta de un familiar
peru desear usar tarjeta,Cat_289,peru desear usar tarjeta
como aviso el pago de la tarjeta?,Cat_195,como aviso el pago de la tarjeta
necesito hacer simulacros de creditos,Cat_251,necesito hacer simulacros de creditos
préstamo prendario,Cat_225,prestamo prendario
me contacto porque no recibí el descuento por mi recarga de la tarjeta sube,Cat_312,me contacto porque no recibi el descuento por mi recarga de la tarjeta sube
quisiera realizar el pago de la empresa directv on line.,Cat_132,quisiera realizar el pago de la empresa directv on line
tarjeta fondo insuficiente,Cat_303,tarjeta fondo insuficiente
quisier solicitar un prestamos de pesos ,Cat_223,quisier solicitar un prestamos de pesos
como hago para pagar una deuda,Cat_192,como hago para pagar una deuda
quiero pedir un prestamo hipotecario online,Cat_223,quiero pedir un prestamo hipotecario online
quiero saber si tengo cobertura de seguro paraviajar al exterior a europa con la tarjeta visa platinum de santander?,Cat_282,quiero saber si tengo cobertura de seguro paraviajar al exterior a europa con la tarjeta visa platinum de santander
necesito hacer una compra por internet como es en dolares no me deja hacerla.,Cat_290,necesito hacer una compra por internet como es en dolares no me deja hacerla
transacciones cuestionadas,Cat_112,transacciones cuestionadas
se me inundó mi casa  tengo cobertura?,Cat_265,se me inundo mi casa tengo cobertura
puedo sumar ingresos de monotributo en el credito de vivienda,Cat_254,puedo sumar ingresos de monotributo en el credito de vivienda
cómo hago para enviarme una transferencia desde exterior?,Cat_32,como hago para enviarme una transferencia desde exterior
cómo hago para cancelar un plazo fijo?,Cat_182,como hago para cancelar un plazo fijo
telefono de atencion telefonica?,Cat_147,telefono de atencion telefonica
cómo hago para cobrar un cheque de estados unidos?,Cat_30,como hago para cobrar un cheque de estados unidos
si saco un credito de pesos cuanto pagó por mes?,Cat_251,si saco un credito de pesos cuanto pago por mes
no se donde ver los beneficio de sorpresa,Cat_311,no se donde ver los beneficio de sorpresa
super club donde esta,Cat_323,super club donde esta
quisiera cobrar mi jubilacion en santander rio actualmente cobro en banco piano que tramite tengo que hacer?,Cat_63,quisiera cobrar mi jubilacion en santander rio actualmente cobro en banco piano que tramite tengo que hacer
como hago aca para cambiar los puntos,Cat_322,como hago aca para cambiar los puntos
abone erróneamente una cantidad de dinero en una de las tarjetas,Cat_350,abone erroneamente una cantidad de dinero en una de las tarjetas
como pago los consumos en dolares,Cat_307,como pago los consumos en dolares
puedo comprar cualquier tipo de propiedad mediante el préstamo hipotecario?,Cat_211,puedo comprar cualquier tipo de propiedad mediante el prestamo hipotecario
me llego la tarjeta con el nombre mal escrito,Cat_315,me llego la tarjeta con el nombre mal escrito
no pude gestionar la clave con los pasos de la página,Cat_1,no pude gestionar la clave con los pasos de la pagina
quiero sacar tarjeta credito telefono,Cat_337,quiero sacar tarjeta credito telefono
queria reclamar que me debitaron de más para el pago de la tarjeta de credito.,Cat_350,queria reclamar que me debitaron de mas para el pago de la tarjeta de credito
quisiera saber el costo de transferencia desde el exterior,Cat_31,quisiera saber el costo de transferencia desde el exterior
para regularizar el descubierto exedido,Cat_56,para regularizar el descubierto exedido
generar cambiar usuario tomar,Cat_1,generar cambiar usuario tomar
me equivoque al armar un plazo fijo y ahora quiero cancelarlo,Cat_182,me equivoque al armar un plazo fijo y ahora quiero cancelarlo
que antiguedad laboral debe tener mi cónyugue para sumar ingresos para el préstamo hipotecario?,Cat_254,que antiguedad laboral debe tener mi conyugue para sumar ingresos para el prestamo hipotecario
dato póliza modificarlos,Cat_267,dato poliza modificarlos
quiero hablar por telefono con alguien!!!!,Cat_147,quiero hablar por telefono con alguien
necesito comunicarme asesor telefónico numero llamar,Cat_147,necesito comunicarme asesor telefonico numero llamar
puedo sacar un préstamo.personal,Cat_248,puedo sacar un prestamo personal
necesito estudio enviaron deuda,Cat_190,necesito estudio enviaron deuda
que es santander duo?,Cat_139,que es santander duo
pasar aadvantage,Cat_277,pasar aadvantage
tuve inconvenientes con el producto que canjeé y queria solicitar una devolución,Cat_329,tuve inconvenientes con el producto que canjee y queria solicitar una devolucion
para participar en el sorteo?,Cat_143,para participar en el sorteo
bloquie la tarjeta con la clave alfanumerica.,Cat_288,bloquie la tarjeta con la clave alfanumerica
si abro una cuenta en dolares. puedo hacer y recibir dolares de una cuenta extranjera?,Cat_36,si abro una cuenta en dolares puedo hacer y recibir dolares de una cuenta extranjera
quisiera asegurar por menos valor y disminuir la cuota.,Cat_268,quisiera asegurar por menos valor y disminuir la cuota
cúal monto maximo permitir pago servicio pagomiscuentas,Cat_132,cual monto maximo permitir pago servicio pagomiscuentas
como se la clave de cajero para operar?,Cat_288,como se la clave de cajero para operar
necesito obtengo un estado de cuenta,Cat_61,necesito obtengo un estado de cuenta
no puedo realizar transferencias,Cat_80,no puedo realizar transferencias
¿como refinanciar las tarjetas?,Cat_308,como refinanciar las tarjetas
como confirmo si recibieron la documentación del siniestro?,Cat_270,como confirmo si recibieron la documentacion del siniestro
quiero consultar sobre cierrres de mis tarjetas,Cat_341,quiero consultar sobre cierrres de mis tarjetas
seguimiento enví¬≠o tarjeta,Cat_293,seguimiento envi¬=o tarjeta
soy cliente del banco y necesito un prestamo de a tasa uva,Cat_223,soy cliente del banco y necesito un prestamo de a tasa uva
como hacer el certificado de superviviencia,Cat_88,como hacer el certificado de superviviencia
no he recibido un pago que me enviaron desde el exterior,Cat_33,no he recibido un pago que me enviaron desde el exterior
argentino santander,Cat_39,argentino santander
como son los costos de tasacion ?,Cat_216,como son los costos de tasacion
necesito saber como puedo suspender un debito de mi tarjeta de credito.. (plan rombo),Cat_292,necesito saber como puedo suspender un debito de mi tarjeta de credito plan rombo
necesitar total cancelar tarjeta credito,Cat_342,necesitar total cancelar tarjeta credito
necesito un ccredito,Cat_223,necesito un ccredito
necesito comunicarme asesor telefónico numero llamar,Cat_147,necesito comunicarme asesor telefonico numero llamar
tengo que cambiar mi tarjeta de debito porque esta fallando la banda magnetica y queria saber como tengo que hacer,Cat_316,tengo que cambiar mi tarjeta de debito porque esta fallando la banda magnetica y queria saber como tengo que hacer
cual es el valor resultante de una operacion de credito hipotecario,Cat_231,cual es el valor resultante de una operacion de credito hipotecario
abrir recibir sueldo,Cat_39,abrir recibir sueldo
tengo que enviar dinero al exterior por una beca de estudios   que tengo que hacer?,Cat_36,tengo que enviar dinero al exterior por una beca de estudios que tengo que hacer
quiero realizar una simulacion del prestamo,Cat_251,quiero realizar una simulacion del prestamo
en que lugar puedo ver el nro de socio del programa advantage?,Cat_275,en que lugar puedo ver el nro de socio del programa advantage
quiero renobar la tarjeta que se me vencio,Cat_316,quiero renobar la tarjeta que se me vencio
cuales son beneficios pagar con debito impuestos y servicios,Cat_132,cuales son beneficios pagar con debito impuestos y servicios
servicio querer pagar está habilitar,Cat_132,servicio querer pagar esta habilitar
hasta que día puedo sacar entradas por la preventa?,Cat_311,hasta que dia puedo sacar entradas por la preventa
estoy de viaje y me comentaron q me estan llamando x telefono a mi casa,Cat_146,estoy de viaje y me comentaron q me estan llamando x telefono a mi casa
consultar modificar limite extraer tarjeta debito,Cat_303,consultar modificar limite extraer tarjeta debito
quiero sacar una persona,Cat_38,quiero sacar una persona
como denuncio que se me quemo todo  por una baja de tensión?,Cat_265,como denuncio que se me quemo todo por una baja de tension
necesito tarjeta de la universidad,Cat_359,necesito tarjeta de la universidad
puedo solicitar un prestamo hipotecario a traves de la web del banco?,Cat_223,puedo solicitar un prestamo hipotecario a traves de la web del banco
queria dar de baja unos debitos automaticos,Cat_292,queria dar de baja unos debitos automaticos
recibo sueldo pedir sacar tarjeta,Cat_337,recibo sueldo pedir sacar tarjeta
cuanto es el minimo que puedo solicitar para comprar una casa,Cat_236,cuanto es el minimo que puedo solicitar para comprar una casa
disponible tarjeta mastercard,Cat_303,disponible tarjeta mastercard
adherir metrogas a la tarjeta,Cat_132,adherir metrogas a la tarjeta
que puedo hacer con la caja de ahorro en dolares,Cat_53,que puedo hacer con la caja de ahorro en dolares
si yo canjeo puntos de descuentos y ese día hay descuento nen ese local se me acumulan las promociones?,Cat_322,si yo canjeo puntos de descuentos y ese dia hay descuento nen ese local se me acumulan las promociones
puedo hacer para cambiar mi tarjeta de débito?,Cat_316,puedo hacer para cambiar mi tarjeta de debito
adhesión al debito automatico,Cat_87,adhesion al debito automatico
queria saber si el reclamo fue resuelto,Cat_135,queria saber si el reclamo fue resuelto
quiero comunicarme con un asesor,Cat_29,quiero comunicarme con un asesor
no quiero recibir mas resumen por correo postal,Cat_138,no quiero recibir mas resumen por correo postal
acceso a advantage,Cat_299,acceso a advantage
que requisitos tengo para enviar dinero al exterior?,Cat_36,que requisitos tengo para enviar dinero al exterior
como extraigo dinero,Cat_298,como extraigo dinero
quiero dar de baja a mi cuenta como hago?,Cat_41,quiero dar de baja a mi cuenta como hago
extension limite en debito,Cat_303,extension limite en debito
me podes decir como entro a home banking desde el celular,Cat_3,me podes decir como entro a home banking desde el celular
beneficio pagar debitar impuesto servicio,Cat_132,beneficio pagar debitar impuesto servicio
requisitos a cumplir para un personal,Cat_248,requisitos a cumplir para un personal
reimpresion de tarjeta. por homebanking no pude solicitarla,Cat_316,reimpresion de tarjeta por homebanking no pude solicitarla
estoy tratando de transferir en usd y me es imposible.,Cat_80,estoy tratando de transferir en usd y me es imposible
al vencimiento los letes vuelven a la cuenta en dolares?,Cat_161,al vencimiento los letes vuelven a la cuenta en dolares
me dan el prestamo hipotecario sin tener la propiedad seleccionada?,Cat_206,me dan el prestamo hipotecario sin tener la propiedad seleccionada
se bloqueo mi clave como obtengo otra?,Cat_1,se bloqueo mi clave como obtengo otra
tengo una póliza de seguros y me falta televisor la notebook y un dinero.,Cat_265,tengo una poliza de seguros y me falta televisor la notebook y un dinero
que es un debin de plazo fijo,Cat_54,que es un debin de plazo fijo
no se me acredito el saldo en la red bus,Cat_129,no se me acredito el saldo en la red bus
que impuestos se debe pagar para el prestamo hipotecario,Cat_232,que impuestos se debe pagar para el prestamo hipotecario
que documentacion necesito para solicitar el prestamo,Cat_247,que documentacion necesito para solicitar el prestamo
quiero averiguar sobre comisión por manteniemiento,Cat_96,quiero averiguar sobre comision por manteniemiento
por que si transferí plata todavía no se me debitó el monto?,Cat_80,por que si transferi plata todavia no se me debito el monto
pagar tarjeta visa minimo,Cat_351,pagar tarjeta visa minimo
cuanto tardan en acreditarse las millas en mi cuenta?,Cat_275,cuanto tardan en acreditarse las millas en mi cuenta
para solictar prestamo debo acercarme hasta una sucursal,Cat_212,para solictar prestamo debo acercarme hasta una sucursal
interesa abrir banco,Cat_39,interesa abrir banco
es el mismo procedimiento de siempre para depositar un cheque en moneda extranjera?,Cat_30,es el mismo procedimiento de siempre para depositar un cheque en moneda extranjera
puedo conseguir un ccredito solo con mi dni,Cat_248,puedo conseguir un ccredito solo con mi dni
no me llegue el producto y quiero que me devuelvan los puntos,Cat_326,no me llegue el producto y quiero que me devuelvan los puntos
queria saber si tenia la posibilidad de que suban el margen de descubierto,Cat_57,queria saber si tenia la posibilidad de que suban el margen de descubierto
quiero sacar adelanto de sueldo,Cat_57,quiero sacar adelanto de sueldo
quiero conocer todos los beneficios y descuentos que poseo por tener cuenta sueldo en santander .,Cat_72,quiero conocer todos los beneficios y descuentos que poseo por tener cuenta sueldo en santander
sacar targeta blanco,Cat_337,sacar targeta blanco
cómo se que tarjeta está asociada a mi cuenta primaria?,Cat_52,como se que tarjeta esta asociada a mi cuenta primaria
como saber el número de sucursal,Cat_100,como saber el numero de sucursal
como se cual el monto que el banco me otorgara para el credito hipotecario,Cat_236,como se cual el monto que el banco me otorgara para el credito hipotecario
iu,Cat_140,iu
como salgo de la pagina,Cat_0,como salgo de la pagina
sucursal retirar plástico,Cat_293,sucursal retirar plastico
depositar plata cajero pagar tarjeta,Cat_342,depositar plata cajero pagar tarjeta
de donde bajo la aap para mi tablet,Cat_3,de donde bajo la aap para mi tablet
me encuentro en españa y no puedo usar mi tarjeta de credito,Cat_289,me encuentro en espana y no puedo usar mi tarjeta de credito
cajero tragar dinero,Cat_297,cajero tragar dinero
quiero saber que debitos automaticos con mi tarjeta visa tengo,Cat_93,quiero saber que debitos automaticos con mi tarjeta visa tengo
quiero dar de baja unos seguros que tenía,Cat_262,quiero dar de baja unos seguros que tenia
se me habia colgado la computadora mientras hacía un canje en superclub,Cat_328,se me habia colgado la computadora mientras hacia un canje en superclub
como puedo acceder al nuevo online banking?,Cat_3,como puedo acceder al nuevo online banking
no soy cliente. pero quiero un prestamo personal,Cat_248,no soy cliente pero quiero un prestamo personal
que necesito para acceder al préstamo personal?,Cat_248,que necesito para acceder al prestamo personal
promo debitar automatico adheri servicio debitar pagar cuenta figurar adherir,Cat_129,promo debitar automatico adheri servicio debitar pagar cuenta figurar adherir
