Pregunta,Intencion,Pregunta_T1
que paquetes bancarios me puede ofrecer,Cat_39,¿Qué paquetes bancarios me pueden ofrecer?
desconocer descontar,Cat_115,ignorar descuento
yo tengo una cuenta sueldo que tipo de paquete tengo?,Cat_75,"Tengo una cuenta salarial, ¿qué tipo de paquete tengo?"
reclamar consumo desconocer,Cat_112,reclamar el consumo sin darse cuenta
como pago en dolares mi visa?,Cat_307,¿Cómo pago en dólares mi visa?
donde me pueden mostrar el listado de concesionarios?,Cat_223,¿Dónde puede mostrarme la lista de distribuidores?
interesa abrir recibir sueldo,Cat_39,interesado en abrir recibir salario
cuantos dias tengo una vez que me aprobaron el hipotecario,Cat_241,¿Cuántos días tengo una vez que se aprobó la hipoteca?
cómo tasan el valor de la propiedad para calcular el préstamo?,Cat_217,¿Cómo evalúan el valor de la propiedad para calcular el préstamo?
como adhiero boletas de servicio a debito automatico,Cat_132,¿Cómo agrego tickets de servicio al débito automático?
sigue vigente el super miercoles mujer en peluquerias?,Cat_311,¿Sigue vigente la súper miércoles mujer en peluquería?
me computaron una compra de amex en un pago cuando debieron hacerlo en cuotas.,Cat_339,Me calcularon una compra de amex en un pago cuando tuvieron que hacerlo en cuotas.
donde puedo hacer un reclamo?,Cat_135,¿Dónde puedo hacer un reclamo?
no puedo crear la clave. no pueedo realizar la validacion,Cat_1,No puedo crear la clave. No puedo validar
quiero ahorro santander,Cat_39,Quiero salvar a Santander
necesito un comprobante de una operación,Cat_98,Necesito prueba de una operación.
como hago para suscribirme a woman?,Cat_357,¿Cómo puedo suscribirme a una mujer?
puedo reclamar por la atención en la sucursal,Cat_135,¿Puedo solicitar atención en la sucursal?
tiene costo el envio de super club,Cat_322,costo de envío de super club
que es un token,Cat_5,que es una ficha
quisiera saber cuanto me descuentan del monto otorgado del préstamo hipotecario?,Cat_245,Me gustaría saber cuánto me descontarán del monto del préstamo hipotecario.
quisiera cancelar transferencias automáticas para siempre,Cat_81,Me gustaría cancelar las transferencias automáticas para siempre
nesesito comunicarme con la parte de seguros,Cat_29,Necesito contactar al lado del seguro
quiero pagar tarjeta naranja online por el sistema,Cat_132,Quiero pagar una tarjeta naranja en línea a través del sistema
necesitaba abrir la cuenta para invertir,Cat_169,Necesitaba abrir la cuenta para invertir
acordar fecha pago,Cat_191,acordar fecha de pago
necesitaria informacion .sobre prestamos personales,Cat_225,Necesitaría información sobre préstamos personales.
puedo pagar con tarjetas del banco en cuotas con ahora12?,Cat_336,¿Puedo pagar con tarjetas bancarias en cuotas con now12?
puedo pagar un impuesto con mi tarjeta?,Cat_132,¿Puedo pagar un impuesto con mi tarjeta?
quisiera solicitar la baja de santander sorpresa por favor. no me interesa?,Cat_320,Me gustaría solicitar la baja de Santander sorpresa por favor. ¿No me interesa?
cual es el tipo de cambio hoy,Cat_166,cual es el tipo de cambio hoy
cambiar contraseña,Cat_1,Cambia la contraseña
la preventa de espectáculos es solamente para visa?,Cat_311,La preventa de espectáculos es solo para visa?
calcular prestamo,Cat_251,calcular préstamo
como son los requisitos del préstamo,Cat_248,¿Cómo son los requisitos de préstamo?
no tengo el plastico de la tarjeta me dijeron que esta en la sucursal,Cat_293,No tengo el plástico de la tarjeta me dijeron que está en la sucursal
cual es mi situación col el banco,Cat_99,cual es mi situacion con el banco
transferencia de moneda extranjera entre entidades locales  mismo titular. no pude hacerlo,Cat_80,transferencia de moneda extranjera entre entidades locales del mismo titular. No pude hacerlo
reposicion de plasticos por banda magnetica dañada,Cat_316,reemplazo de plásticos por banda magnética dañada
cuándo puedo darme de baja de los fondos comunes de inversion,Cat_175,cuando puedo retirar de fondos mutuos
porque se demora tanto la aprobacion de mi credito?,Cat_215,¿Por qué tarda tanto mi aprobación de crédito?
como abro una caja de ahorro,Cat_39,¿Cómo abro una caja de ahorros?
que es lo que hoy comviene.? plazo fijo en pesos o comprar dolares?,Cat_178,¿Qué viene hoy? plazo fijo en pesos o comprar dólares?
quisiera saber sobre la cuenta joven,Cat_140,Me gustaría saber sobre la cuenta joven
no encuentro la opcion salir .quiero entrar de nuevo y me dice que salga primero,Cat_0,No puedo encontrar la opción de irme. Quiero volver a entrar y él me dice que me vaya primero
tengo programados pagos por pago mis cuentas con vencimiento de hoy y no fueron debitados,Cat_129,He programado pagos para pagar mis cuentas que vencen hoy y no se debitaron
queria saber las bases y condiciones para adquirir el super préstamo santander  soy cliente platinium,Cat_225,Quería conocer las bases y condiciones para adquirir el súper préstamo santander Soy un cliente platino
podés confirmar sucursal,Cat_100,puedes confirmar rama
yo tengo promoción sorpresa?,Cat_320,Tengo una promoción sorpresa?
y como puedo averiguar cuanto estoy pagando yo x la mantencion de mi cuenta,Cat_96,y como puedo saber cuanto pago x el mantenimiento de mi cuenta
es requisito tener cuenta sueldo para pedir un ccredito?,Cat_238,¿Se requiere una cuenta salarial para solicitar un crédito?
querría utilizar el ccredito disponible,Cat_223,quisiera usar el crédito disponible
yo tengo extension de visa gold queria saber si yo puedo abonar mediante debito automatico unicamente mi extension,Cat_342,Tengo una extensión de visa de oro. Quería saber si solo puedo pagar mi extensión mediante débito automático.
queria avisar q mi tarjeta amex fue cancelada la deuda total,Cat_195,"Quería advertir que mi tarjeta amex fue cancelada, la deuda total"
se lastimó el albañil  esto lo cubre el seguro?,Cat_265,el albañil resultó herido esto lo cubre el seguro?
limite uso diario visa debito,Cat_303,limitar el uso diario de débito de visa
no veo en online banking los letes/lebacs para licitar hoy,Cat_160,No veo en la banca en línea los letes / lebacs a licitar hoy
como veo mi resumen de cuenta?,Cat_138,¿Cómo veo el resumen de mi cuenta?
me robaron el celular me cubre?,Cat_265,me robaron el celular?
como me inscribo para el sorteo,Cat_143,¿Cómo me inscribo para el sorteo?
adelantó tarjeta de credito,Cat_298,tarjeta de crédito avanzada
necesito telefono consultar transferencia,Cat_147,Necesito un teléfono consultar transferencia
cómo hago para hacer una solicitud de chequeras?,Cat_44,¿Cómo puedo hacer una solicitud de chequera?
no pude usar la tarjeta en el exterior me explicás por que?,Cat_289,no puede usar la tarjeta en el extranjero ¿puede explicar por qué?
¿hay beneficios en los préstamos siendo discapacitado?,Cat_253,¿Hay beneficios en los préstamos que se deshabilitan?
me tienen que reponer la priority pass y todavía no llegue.,Cat_293,Tienen que reemplazar el pase de prioridad y aún no ha llegado.
a quien dan prestamos,Cat_248,a quien le dan préstamos
desarrollo urbanistico,Cat_200,desarrollo Urbano
desde donde se hace el test de inversion?,Cat_178,¿desde dónde se realiza la prueba de inversión?
cantidad de millas que poseo?,Cat_275,¿Cuántas millas tengo?
necesitaria por favor consultar sobre la posibilidad de obtener la tarjeta de ccredito black.,Cat_40,"Por favor, pregunte sobre la posibilidad de obtener una tarjeta de crédito negra."
hay sorteo para que te den procrear?,Cat_200,¿Hay un sorteo para dar a luz?
mantenimiento caja de ahorro,Cat_96,caja de ahorro de mantenimiento
como activo inicio automatico,Cat_2,Como activo de inicio automático
estoy solicitarlo por online banking un prestamo y me indica que llame por telefono.,Cat_197,Estoy solicitando un préstamo bancario en línea y me dice que llame.
tengo vencida la tarjeta de ccredito  como hago para que me envíen la nueva?,Cat_316,"He caducado la tarjeta de crédito, ¿cómo puedo recibir la nueva?"
quiero dar de baja el debito automatico de agip,Cat_292,Quiero cancelar el débito automático de agip
quisiera saber si mi tarjeta de debito fue enviada a mi domicilio,Cat_293,Me gustaría saber si mi tarjeta de débito fue enviada a mi dirección
quiero pagar deuda,Cat_192,Quiero pagar deudas
no me llega la tarjeta de debito,Cat_293,No recibo mi tarjeta de débito
cargar credito,Cat_132,crédito de carga
soy cliente y fui seleccionado por procrear para pedir un préstamo hipotecario que debo hacer?,Cat_223,"Soy cliente y fui seleccionado para solicitar un préstamo hipotecario, ¿qué debo hacer?"
ccreditos disponibles,Cat_225,créditos disponibles
que dias esta habilitado el autoservicio,Cat_91,en qué días está habilitado el autoservicio
tengo un ccredito preadjudicado y quiero que me respondan desde el banco ya que presenté datos de una propiedad y no me contestan,Cat_215,Tengo un crédito otorgado previamente y quiero que me respondan desde el banco ya que presenté los datos de una propiedad y no me responden
cual es el nunero de la banca telefonica,Cat_147,cual es el numero de telefono
quiero canjear mis puntos por un premio,Cat_322,Quiero cambiar mis puntos por un premio
hice el pago de la tarjeta y me pagó las adicionales pero no la titular.,Cat_342,Hice el pago con tarjeta y él me pagó los adicionales pero no el titular.
clave banelco,Cat_288,llave de banelco
vacación pagar tarjeta querer,Cat_342,tarjeta de pago de vacaciones quiere
no llego el plastico a mi domicilio,Cat_293,el plástico no llegó a mi casa
podrian facilitarme un telefono para pedir informacion,Cat_147,¿Me podría dar un teléfono para solicitar información?
cambiar clave nombre usuario,Cat_1,cambiar contraseña nombre de usuario
como solicitar atrjeta,Cat_337,como solicitar tarjeta
necesitar pagar mantenimienrto,Cat_96,necesita pagar mantenimiento
cómo hago para que pueda realizar compras con debito mayores,Cat_302,¿Cómo puedo hacer compras con débito mayor?
quisiera dar de baja la cuenta,Cat_41,Me gustaría cancelar la cuenta
tarifa orden pagar exterior,Cat_31,orden de tarifa pagar en el extranjero
soy cliente de santander y queria saber si me pueden otorgar un prestamo,Cat_248,Soy cliente de Santander y quería saber si pueden otorgarme un préstamo.
ingresar a mi cuenta,Cat_3,Inicie sesión en mi cuenta
bajo servicio agenda pago aparece,Cat_129,bajo la agenda de servicio aparece el pago
ya no puedo hacer compras en moneda extranjera con mi tarjeta de debito.,Cat_289,Ya no puedo realizar compras en moneda extranjera con mi tarjeta de débito.
solicitar tarjeta credito visa,Cat_337,solicitud de tarjeta de crédito visa
cómo hago para anular un plazo fijo?,Cat_182,¿Cómo puedo cancelar un plazo fijo?
quisiera saber si las tarjetas de débito suman puntos o solo las de ccredito,Cat_323,Me gustaría saber si las tarjetas de débito agregan puntos o solo tarjetas de crédito
queriamos acceder tarjeta,Cat_337,queríamos acceder a la tarjeta
quien es el tasador?,Cat_216,¿Quién es el tasador?
tramite operar brasil tarjeta,Cat_289,tramitar tarjeta de Brasil
solicitar la tarjeta de credito visa,Cat_337,solicitar la tarjeta de crédito visa
pedido de la reposición de tarjeta por vencimiento,Cat_316,orden de reemplazo de tarjeta por vencimiento
necesito activar el adelanto de sueldo,Cat_57,Necesito activar el adelanto salarial
bajo cuenta este medio no efectiva,Cat_41,en cuenta este medio ineficaz
quiero contratar un seguro de accidentes personales,Cat_261,Quiero contratar un seguro de accidentes personales.
necesitar pagar servicio,Cat_132,necesita pagar servicio
mi premio llegue con fallas y necesito que me lo cambien.,Cat_329,Mi premio llega con fallas y necesito que lo cambien.
como consulto la acreditación de millas?,Cat_275,¿Cómo verifico la acreditación de kilometraje?
como entro a ver el saldo?,Cat_50,¿Cómo ingreso para ver el saldo?
términos y condiciones transferencia a terceros,Cat_83,términos y condiciones de transferencia a terceros
beneficios duo de que se trata,Cat_139,dúo de beneficios en cuestión
yo tengo tarjeta de debito y queria sacar una tarjeta de credito,Cat_337,Tengo una tarjeta de débito y quería obtener una tarjeta de crédito.
quiero pagar tarjeta american express,Cat_342,Quiero pagar la tarjeta American Express
quiero denunciar la pérdida de alimentos refrigerados por falta de luz,Cat_265,Quiero informar la pérdida de alimentos refrigerados debido a la falta de luz.
me están cobrando comisión en mi cuenta y es cuenta sueldo,Cat_90,Me están cobrando una comisión en mi cuenta y es la cuenta de salario
numero hablar operador,Cat_147,número habla operador
como usar puntos,Cat_322,como usar puntos
por que se me activó el plan v y yo no lo pedí,Cat_308,por qué se activó el plan v y no lo solicité
quiero saber si con tarjeta de universidad aplican beneficios,Cat_359,Quiero saber si los beneficios aplican con una tarjeta universitaria
en teoria me hicieron una transferencia en el dia de hoy,Cat_77,en teoría me hicieron una transferencia hoy
queria saber como puedo solicitar un seguro de caucion?,Cat_261,Quería saber cómo puedo solicitar una fianza.
cuando se genera mi proximo resumen de cuenta?,Cat_138,¿Cuándo se genera mi próximo resumen de cuenta?
se supone que no tenía que pagar nada por la renovación y me debitaron igual,Cat_90,Se suponía que no debía pagar nada por la renovación y me debitaron lo mismo.
clave vencida permitir,Cat_1,clave expirada permitir
demoran mucho en entregar un premio que canjeé?,Cat_326,¿Toma mucho tiempo entregar un premio que canjeé?
puedo solicitar un prestamo hipotecario para segunda vivienda?,Cat_228,¿Puedo solicitar un préstamo hipotecario para una segunda casa?
como sé si califico para pedir un préstamo personal?,Cat_248,¿Cómo sé si califico para solicitar un préstamo personal?
reclamar devolver dinero comprar realizar devolver dinero descuento,Cat_312,reclamar devolución dinero comprar hacer devolución dinero descuento
seguimiento enví¬≠o tarjeta,Cat_293,seguimiento de envío o tarjeta
estoy tratando de hacer una transferencia al exterior sin poder lograrlo,Cat_35,Estoy tratando de hacer una transferencia al extranjero sin poder hacerlo
quiero dejar expresa constancia que no contrate ningun seguro de desempleo por favor dar de baja el mismo.,Cat_264,"Quiero declarar expresamente que no contrata ningún seguro de desempleo, anule la suscripción."
estoy casado es requisito incluir a mi esposa en el credito?,Cat_225,"Estoy casado, ¿es mi requisito incluir a mi esposa en el crédito?"
como solicitar la tarjeta visa ?,Cat_337,¿Cómo solicitar la tarjeta Visa?
tarjeta bloqueada desbloquear,Cat_286,tarjeta bloqueada desbloquear
quiero sacar visa,Cat_337,Quiero obtener una visa
averiguar mi sucursal santander,Cat_100,descubre mi sucursal de santander
necesito consultar tarjeta visa disponible comprar,Cat_303,Necesito verificar la compra de tarjeta visa disponible
cobro un sueldo básico que cuota de préstamo personal puedo abonar?,Cat_251,"Cobro un salario básico, ¿qué tarifa de préstamo personal puedo pagar?"
transferí a una cuenta cerrada,Cat_78,Me transfirieron a una cuenta cerrada
como hago para ingresar a la aplicacion de mi celular,Cat_3,¿Cómo ingreso la aplicación de mi teléfono celular?
que documentación presentar para solicitar un prestamo,Cat_247,qué documentación presentar para solicitar un préstamo
prestamo prendario uva,Cat_225,promesa de uva
cuanto me cobran si saco plata del cajero de otro bancos?,Cat_96,¿Cuánto me cobran si tomo dinero del cajero automático de otros bancos?
tarjeta cancelar suscripción mails,Cat_125,tarjeta de baja de correos
tener pasar retirar plasticos,Cat_293,tener que quitar el plástico
hasta que hora van a estar realizando mantenimiento,Cat_124,hasta que hora van a realizar el mantenimiento
quiero ver un ejemplo de ajuste de la cuota del préstamo prendario,Cat_229,Quiero ver un ejemplo de un ajuste de préstamo de compromiso
como minimizo el importe de uso de las tarjetas adicionales?,Cat_335,¿Cómo minimizo la cantidad de uso de las tarjetas adicionales?
dar aviso de viaje al extrangero de mi tarjeta amex,Cat_304,dar aviso de viaje al extranjero de mi tarjeta amex
necesecito rechazar un cargo de tarjeta visa antes de que me la debiten,Cat_112,Necesito rechazar una tarifa de tarjeta visa antes de que se me cargue
a que telefono tengo que llamar para consultas sobre prestamo hipotecarios,Cat_225,¿A qué teléfono debo llamar para consultas sobre préstamos hipotecarios?
me pueden enviar por mail las polizas de los seguros contratados,Cat_266,Puede enviarme por correo electrónico las pólizas de seguro contratadas.
la cuota se actualiza por inflacion un prestamo personal?,Cat_219,la tarifa se actualiza por inflación un préstamo personal?
quiero abrirme caja ahorro,Cat_39,Quiero abrir una caja de ahorros
quiero saber cuanto estoy debiendo en la tarjeta,Cat_342,Quiero saber cuánto debo en la tarjeta
necesito pedir que acrediten en mi caja de ahorro un ccredito que tengo en la tarjeta de ccredito visa,Cat_347,Necesito solicitar que le den crédito a mi caja de ahorros con un crédito que tengo en mi tarjeta de crédito Visa
que me cubre la asistencia al viajero?,Cat_282,¿Qué me cubre la asistencia en viaje?
el fondo paga impuesto ley,Cat_177,el fondo paga la ley de impuestos
estaba estacionada y me chocaron el auto  como hago la denuncia en el seguro?,Cat_265,Estaba estacionado y mi auto se estrelló. ¿Cómo hago la queja en el seguro?
necesito transferencia online hacer,Cat_83,Necesito una transferencia en línea
que significa custodia monetaria,Cat_165,¿Qué significa la custodia monetaria?
tengo problemas con el resumen de la tarjeta o llega tarde o directamente no llega,Cat_138,Tengo problemas con el resumen de la tarjeta o es tarde o no llega directamente
necesito saber el costo de usar cajeros q no sean del santander,Cat_96,Necesito saber el costo de usar cajeros automáticos que no son de Santander
es lo mismo transferencia programada que automática?,Cat_81,¿La misma transferencia programada es automática?
de que se trata la tarjeta nova?,Cat_306,¿De qué se trata la Nova Card?
necesito imprimir algo que pague por pago mis cuentas,Cat_98,Necesito imprimir algo que pague mis facturas
si rescato hoy un fondo en usd cuanto tiempo tarda en acreditarse,Cat_175,"Si rescato un fondo hoy en USD, ¿cuánto tiempo se tarda en acreditarse?"
quiero darme de baja a sorpresa,Cat_320,Quiero darme de baja para sorprender
reclamo por el cobro de comision sorpresa a la cual nunca me adheri,Cat_97,reclamo para el cobro de la comisión sorpresa a la que nunca me adhirí
nunca me mandaron la tarjeta de credito,Cat_293,nunca me enviaron la tarjeta de crédito
necesito comunicarme con la sucursal de recoleta,Cat_91,Necesito contactar a la sucursal de Recoleta
impuesto a la renta financiera,Cat_137,impuesto sobre la renta financiera
tuve un problema con las cañerías y quiero saber cómo pido la asistencia,Cat_265,Tuve un problema con las tuberías y quiero saber cómo solicito asistencia.
recibire un cheque del exterior  como puedo depositarlo?,Cat_30,Recibiré un cheque del extranjero. ¿Cómo puedo depositarlo?
necesito visualizar el saldo de la tarjeta recargable,Cat_313,Necesito ver el saldo de la tarjeta recargable
me llego una tarjeta que no quiero,Cat_310,Tengo una tarjeta que no quiero
tengo que anortarme en sorteo para obtener el prestamo procrear?,Cat_200,¿Tengo que ingresar a una lotería para obtener el préstamo para procrear?
quiero saber mis chances en sorteo plan sueldo,Cat_143,Quiero saber mis posibilidades en el sorteo del plan salarial
quiero pedir resumen tarjeta american express  ya que no llegue.,Cat_138,"Quiero solicitar un resumen de la tarjeta American Express, ya que no llega."
cobro manutencion tarjeta no tengo,Cat_97,No tengo mantenimiento de tarjeta de crédito.
tengo tarjetas con el mismo nombre,Cat_309,Tengo tarjetas con el mismo nombre
que es iu,Cat_140,que es iu
la cuota es fija en hipotecarios?,Cat_258,¿Se fija la tarifa en las hipotecas?
puedo sumar sueldo de conyugue para el prestamo hipotecarios,Cat_254,¿Puedo agregar el salario de un cónyuge para el préstamo hipotecario?
me decís cómo se hace para agregar un destinatario de trasferencias?,Cat_76,¿Me puede decir cómo agregar un destinatario de transferencia?
quiero hacerme el visa home y no puedo,Cat_356,Quiero convertirme en una visa de hogar y no puedo
qeria si e puede anular un plazo fijo el mismo dia se guardo???,Cat_182,quería si un plazo fijo se puede cancelar el mismo día que se guardó ???
quiero formar parte de su equipo de trabajo,Cat_102,Quiero ser parte de tu equipo
paquete bancario ofrecer,Cat_39,oferta de paquete bancario
numero de referencia tarjeta visa,Cat_147,número de referencia de tarjeta visa
tengo mi cuenta sueldo en santander quiero sacar un prestamo,Cat_223,Tengo mi cuenta de sueldo en Santander Quiero pedir un préstamo
se pueden comprar motos?,Cat_228,puedes comprar motos?
como agendar una cuenta para realizar una transferencia,Cat_76,Cómo programar una cuenta para hacer una transferencia
costo apertura caja ahorro peso,Cat_96,ahorro de costes de apertura peso de la caja
realizar debitar automatico epec,Cat_129,realizar epec de débito automático
quisiera saber mi numero cbu,Cat_42,Me gustaria saber mi numero de cbu
se realizo duplicidad de pago en resumen de tarjeta visa,Cat_350,Duplicación de pago en resumen de tarjeta visa
como aceptar una orden de debin,Cat_54,cómo aceptar una orden de débito
mi consulta es por una deuda,Cat_99,mi consulta es por una deuda
pueden dos titulares acceder al credito para la casa,Cat_256,¿Pueden dos titulares acceder al crédito de la casa?
es tna o cft?,Cat_224,¿Es tna o cft?
y como puedo saber que ypf esta adherido a la promocion,Cat_311,y cómo puedo saber que ypf se adhiere a la promoción
adherir un debito automatico,Cat_132,agregar un débito automático
perdí mi tarjeta santander  en méxico  quiero saber si puedo extraer dinero desde la sucursal más próxima acá.,Cat_128,Perdí mi tarjeta santander en México. Quiero saber si puedo retirar dinero de la sucursal más cercana aquí.
puedo hacer inversiones en bonos desde online banking,Cat_157,Puedo hacer inversiones en bonos de la banca en línea
importa la conformación de mi grupo familiar para el prestamo?,Cat_248,¿La conformación de mi grupo familiar es importante para el préstamo?
me gustaria tener un descubierto,Cat_57,Me gustaría tener un sobregiro
se puede obtener un préstamo hipotecario hasta aaños?,Cat_242,¿Puede obtener un préstamo hipotecario por años?
para solicitar un prestamos no soy cliente,Cat_248,No soy cliente para solicitar un préstamo
no puedo ingresar a onling banking desde mi celular.,Cat_117,No puedo ingresar a la banca en línea desde mi teléfono celular.
tengo que cobro la jubilación en el banco para que me den una tarjeta?,Cat_337,¿Tengo que cobrar la jubilación en el banco para obtener una tarjeta?
por que motivo tengo tan poco disponible para compra con visa?,Cat_303,¿Por qué razón tengo tan poco disponible para comprar con una visa?
me dicen que tengo una amex para retirar pero yo no la pedí.,Cat_310,"Me dicen que tengo que retirar un Amex, pero no lo pedí."
quiero saber que promos tiene por el día ?,Cat_311,¿Quiero saber qué promociones tienes para el día?
quiro saber si puedo solicitar un credito,Cat_248,Quiero saber si puedo solicitar un crédito
la tarjeta de debito suma millas?,Cat_274,¿La tarjeta de débito agrega millas?
solicitar tarjeta credito visa,Cat_337,solicitud de tarjeta de crédito visa
quiero ir a buscar mi chequera a una sucursal distinta,Cat_46,Quiero ir a buscar mi chequera a otra sucursal
me gustaria saber cual es el limite de compra en una tarjetas de debito visa,Cat_303,Me gustaría saber cuál es el límite de compra en una tarjeta de débito visa
me descontaron dinero de la cuenta,Cat_112,el dinero fue deducido de mi cuenta
hoy tienen atencion al publico?,Cat_114,Hoy tienen atención al público?
esta mi cuenta abierta ??,Cat_61,¿Mi cuenta está abierta?
tengo una cuenta?,Cat_61,¿Tengo una cuenta?
necesitaría saber de cuanto es la cuota por un préstamo,Cat_251,Necesitaría saber cuánto es la tarifa de un préstamo.
reintegro de promociones qu eno me hicieron,Cat_312,reembolso de promociones que no me hicieron
comisión caja ahorro,Cat_96,comisión de caja de ahorro
desbloquear homebanking,Cat_1,desbloquear homebanking
qué requisitos debo cumplir para acceder al préstamo ?,Cat_248,¿Qué requisitos debo cumplir para acceder al préstamo?
cómo puedo pedir una tarjeta y cuales son los requisitos,Cat_337,¿Cómo puedo solicitar una tarjeta y cuáles son los requisitos?
quiero consultar por el credito personal,Cat_225,Quiero consultar por crédito personal
necesito si pueden tomar el pago del open de la cuenta de ahorro que tiene fondos,Cat_199,Necesito si pueden tomar el pago de la cuenta de ahorros abierta que tiene fondos
invertí en un fondo de inversión mix ¿cuando pida el rescate me calcula la ganancia?,Cat_175,"Invertí en un fondo de inversión mixto. Cuando solicito el rescate, ¿calculo el beneficio?"
queria saber tengo cuenta,Cat_61,Quería saber que tengo una cuenta
en donde puedo ver los comercios adheridos a visa y amex para acceder a la promocion verano de restaurantes?,Cat_311,¿Dónde puedo ver las empresas vinculadas a visa y amex para acceder a la promoción de verano de restaurantes?
yo quisiera saber si puedo optener la tarjeta de credito del banco .ya tengo la de debito,Cat_337,Me gustaría saber si puedo obtener la tarjeta de crédito bancaria. Ya tengo una tarjeta de debito
¿con quien puedo sumar ingresos para pedir un préstamo?,Cat_254,¿Con quién puedo agregar ingresos para solicitar un préstamo?
tengo inconveniente un televisor no prende hubo una descarga eléctrica,Cat_265,"Tengo un problema, un televisor no se enciende hubo una descarga eléctrica"
puedo convertir puntos superclub en millas de aadvantage?,Cat_299,¿Puedo convertir puntos de superclub en millas de ventaja?
caja ahorrar otro banco querer pagar tarjeta credito santander,Cat_342,caja de ahorro otro banco quiere pagar tarjeta de crédito santander
como abro una cuenta ?,Cat_39,¿Cómo abro una cuenta?
un telefono para llamar y preguntar si tengo deudas,Cat_194,un teléfono para llamar y preguntar si tengo deudas
gestionar especial numero,Cat_147,gestionar número especial
con quien puedo sumar ingresos para el hipotecario,Cat_254,con quien puedo agregar ingresos a la hipoteca
me es imposible generar una clave por internet,Cat_1,me es imposible generar una contraseña en línea
consultar catalogo completo de superclub,Cat_332,Ver catálogo completo de superclub
quiero saber la demora de acreditación de un pago de redbus?,Cat_132,¿Quiero saber el retraso de la acreditación de un pago de redbus?
bajar polizas,Cat_266,políticas inferiores
¿sí hacer una transferencia en dolares tarda más?,Cat_77,¿Hacer una transferencia en dólares lleva más tiempo?
necesitar monto deber tarjeta,Cat_342,necesita cantidad debe tarjeta
recordar dato,Cat_1,recordar datos
promoción peluqueria?,Cat_311,promoción de peluquería?
yo tengo extension de visa gold queria saber si yo puedo abonar mediante debito automatico unicamente mi extension,Cat_342,Tengo una extensión de visa de oro. Quería saber si solo puedo pagar mi extensión mediante débito automático.
queria anular la suscripción a la voz.,Cat_280,Quería darme de baja de la voz.
tengo que comprar el vehiculo en una agencia o puede ser a un particular,Cat_228,Tengo que comprar el vehículo en una agencia o puede ser de una persona privada
necesito tener informacion de una compra que desconosco,Cat_112,Necesito tener información sobre una compra que no conozco
puedo sacar plata del exterior?,Cat_298,¿Puedo obtener dinero del exterior?
necesitar explicar retencion debitar caja ahorro,Cat_115,necesidad de explicar la retención de débito caja de ahorro
cuales son los requisitos para aprobar un préstamo hipotecario?,Cat_248,¿Cuáles son los requisitos para aprobar un préstamo hipotecario?
porque mi cuenta esta inactiva,Cat_61,porque mi cuenta está inactiva
boleta debitar monto,Cat_129,monto de débito del boleto
quisiera saber como ampliar mi cupo de ccredito en la tarjeta,Cat_302,Me gustaría saber cómo ampliar mi espacio de crédito en la tarjeta
como puedo abrir una cuenta comitente,Cat_169,¿Cómo puedo abrir una cuenta de cliente?
quiero saber cual es el límite que tengo en préstamo prendario,Cat_236,Quiero saber cuál es el límite que tengo en un préstamo de compromiso
por que pago mis cuentas me pide que genere una clave en el cajero?,Cat_131,¿Por qué pago mis facturas y me pide que genere una contraseña en el cajero automático?
quiero sacar un credito y hacer una simulacion,Cat_251,Quiero sacar un crédito y hacer una simulación.
queria saber cuales son los pasos previos para solicitar un prestamo hipotecario.,Cat_241,Quería saber cuáles son los pasos anteriores para solicitar un préstamo hipotecario.
dice que mi dni es incorrecto,Cat_117,dice que mi identificación es incorrecta
no me realizaron el débito de litoral gas,Cat_129,No hice el débito del gas costero
cuál es el porcentaje de los intereses punitorios de la tarjeta de ccredito,Cat_349,¿Cuál es el porcentaje del interés punitivo de la tarjeta de crédito?
solicitud de adicional de tarjeta de credito.,Cat_334,solicitud de tarjeta de crédito adicional.
para mandar dinero a colombia,Cat_36,enviar dinero a colombia
las adicionales son gratis?,Cat_334,¿Los adicionales son gratis?
que tipo de cuenta tengo que tener para realizar un pago al exterior?,Cat_36,¿Qué tipo de cuenta tengo que tener para hacer un pago en el extranjero?
queiro solicitar la baja de mi seguro de vivienda,Cat_262,Quiero solicitar la retirada de mi seguro de hogar
sos chico,Cat_27,Eres un chico
numero consultar telefonica,Cat_147,numero consultar telefono
montomáximo transferencia cuenta tercero,Cat_83,cuenta de transferencia máxima tercera
cómo hago para acceder a mi resúmen?,Cat_138,¿Cómo puedo acceder a mi resumen?
puedo mudar la cuenta corriente a otra sucursal,Cat_65,Puedo mover la cuenta corriente a otra sucursal
no se me debito un servicio,Cat_129,No se me ha cargado un servicio
cuit del banco santander rio,Cat_105,cuit del banco santander rio
para acceder a un prestamo personal,Cat_223,para acceder a un préstamo personal
estoy interesado en saber sobre el prestamo hipotecario,Cat_225,Estoy interesado en saber sobre el préstamo hipotecario
como hago para suscribirme en las promociones,Cat_311,¿Cómo puedo suscribirme a promociones?
comision cajero exterior,Cat_96,comisión de cajero extranjero
que tengo que hacer para que me vuelvan a cobrar en cuotas y no el monto entero?,Cat_339,¿Qué debo hacer para que me cobren nuevamente en cuotas y no el monto total?
cuanto pago de seguro?,Cat_269,¿Cuánto pago del seguro?
me podés decir de donde vino una transferencia?,Cat_55,¿Me puede decir de dónde vino una transferencia?
yo necesito mi clave fiscal de afip,Cat_95,Necesito mi código de impuesto afip
