Pregunta,Intencion,Pregunta_T1,clean_txt,clean_txt_T1
cosas nuevas que yo vaya comprando las tengo que declarar al seguro?,Cat_265,¿Tengo que declarar al seguro las cosas nuevas que compro?,cosas nuevas que yo vaya comprando las tengo que declarar al seguro,tengo que declarar al seguro las cosas nuevas que compro
quiero arreglar la deuda con mi tarjeta de credito,Cat_192,Quiero saldar la deuda con mi tarjeta de crédito,quiero arreglar la deuda con mi tarjeta de credito,quiero saldar la deuda con mi tarjeta de credito
puedo hipotecar una vivienda prefabricada?,Cat_214,¿Puedo hipotecar una casa prefabricada?,puedo hipotecar una vivienda prefabricada,puedo hipotecar una casa prefabricada
cual es el banco santander rio mas cercano?,Cat_91,¿Cuál es la orilla más cercana del río Santander?,cual es el banco santander rio mas cercano,cual es la orilla mas cercana del rio santander
el alias y el cbu se pueden usar indistintamente?,Cat_42,el alias y el cbu se pueden usar indistintamente?,el alias y el cbu se pueden usar indistintamente,el alias y el cbu se pueden usar indistintamente
realice el pago por homebanking,Cat_195,hacer el pago por homebanking,realice el pago por homebanking,hacer el pago por homebanking
quisiera saber sobre un préstamo personal.,Cat_225,Me gustaría saber sobre un préstamo personal.,quisiera saber sobre un prestamo personal,me gustaria saber sobre un prestamo personal
quiero cerrar mi cuenta,Cat_41,Quiero cerrar mi cuenta,quiero cerrar mi cuenta,quiero cerrar mi cuenta
sacar de mi americam tarjeta el resumen de pago,Cat_138,obtener el resumen de pago de mi tarjeta americana,sacar de mi americam tarjeta el resumen de pago,obtener el resumen de pago de mi tarjeta americana
como es el cuadro de cuotas de un hipotecario,Cat_229,como es la tabla de cuotas de una hipoteca,como es el cuadro de cuotas de un hipotecario,como es la tabla de cuotas de una hipoteca
se puede presentar dos recibos de sueldos para las cuotas de un prestamo personal,Cat_254,Se pueden presentar dos recibos de sueldo para las cuotas de un préstamo personal,se puede presentar dos recibos de sueldos para las cuotas de un prestamo personal,se pueden presentar dos recibos de sueldo para las cuotas de un prestamo personal
queria solicitar una cuenta que requisitos nesecito?,Cat_39,"Quería solicitar una cuenta, ¿qué requisitos necesito?",queria solicitar una cuenta que requisitos nesecito,queria solicitar una cuenta que requisitos necesito
no me depositaron la jubilacion,Cat_37,no depositaron mi jubilación,no me depositaron la jubilacion,no depositaron mi jubilacion
el cer varia con la inflacion?,Cat_107,¿Cer varía con la inflación?,el cer varia con la inflacion,cer varia con la inflacion
me podrías decir si aysa se encuentre asociada a débito automatico?,Cat_93,¿Podría decirme si aysa está asociada con el débito automático?,me podrias decir si aysa se encuentre asociada a debito automatico,podria decirme si aysa esta asociada con el debito automatico
prestamo maximo,Cat_236,préstamo máximo,prestamo maximo,prestamo maximo
donde queda la casa matriz?,Cat_91,¿Dónde está la sede?,donde queda la casa matriz,donde esta la sede
no anda la pagina para crear la clave,Cat_117,la página no va a crear la clave,no anda la pagina para crear la clave,la pagina no va a crear la clave
necesito tarjeta de debito pero no tengo recibo de sueldo,Cat_39,Necesito una tarjeta de débito pero no tengo un recibo de pago,necesito tarjeta de debito pero no tengo recibo de sueldo,necesito una tarjeta de debito pero no tengo un recibo de pago
quiero averiguar debito automatico,Cat_87,Quiero averiguar el débito automático,quiero averiguar debito automatico,quiero averiguar el debito automatico
donde veo el saldo de mi cuenta título,Cat_188,¿Dónde veo el título del saldo de mi cuenta?,donde veo el saldo de mi cuenta titulo,donde veo el titulo del saldo de mi cuenta
el cajero me trago plata,Cat_297,el cajero me tragó plata,el cajero me trago plata,el cajero me trago plata
condiciones para otorgamiento de credito personal,Cat_225,condiciones para otorgar crédito personal,condiciones para otorgamiento de credito personal,condiciones para otorgar credito personal
cuanto tengo que tener de sueldo para sacar un préstamo de una propiedad?,Cat_249,¿Cuánto tengo que pagar para obtener un préstamo inmobiliario?,cuanto tengo que tener de sueldo para sacar un prestamo de una propiedad,cuanto tengo que pagar para obtener un prestamo inmobiliario
de cuanto dinero puede llegar a ser el crtedito,Cat_236,cuánto dinero puede ser el crédito,de cuanto dinero puede llegar a ser el crtedito,cuanto dinero puede ser el credito
mi tarjeta de credito está vencida y nunca me la renovaron,Cat_316,mi tarjeta de crédito ha caducado y nunca fue renovada,mi tarjeta de credito esta vencida y nunca me la renovaron,mi tarjeta de credito ha caducado y nunca fue renovada
solicitud de baja de cuenta sueldos.,Cat_41,solicitud de baja de salarios.,solicitud de baja de cuenta sueldos,solicitud de baja de salarios
realicé una compra y el comercio facturó más de lo valía el producto,Cat_112,Hice una compra y el comerciante facturó más de lo que valía el producto.,realice una compra y el comercio facturo mas de lo valia el producto,hice una compra y el comerciante facturo mas de lo que valia el producto
me llega el resumen de la tarjeta por email y me pide una contraseña para poder descargar pdf,Cat_138,Recibí el resumen de la tarjeta por correo electrónico y solicité una contraseña para descargar el pdf,me llega el resumen de la tarjeta por email y me pide una contrasena para poder descargar pdf,recibi el resumen de la tarjeta por correo electronico y solicite una contrasena para descargar el pdf
hoy recibi una llamada de santander como puedo verificar que eran uds?,Cat_146,"Hoy recibí una llamada de Santander, ¿cómo puedo verificar que fueron ustedes?",hoy recibi una llamada de santander como puedo verificar que eran uds,hoy recibi una llamada de santander como puedo verificar que fueron ustedes
no me carga la web de santander.,Cat_117,El sitio web de Santander no me carga.,no me carga la web de santander,el sitio web de santander no me carga
no puedo bajar el truster,Cat_6,No puedo bajar el propulsor,no puedo bajar el truster,no puedo bajar el propulsor
queria saber si la cuenta estaba habiliatada para hacer extracion d adelanto d sueldo?,Cat_57,¿Quería saber si la cuenta estaba habilitada para retirar anticipo de salario?,queria saber si la cuenta estaba habiliatada para hacer extracion d adelanto d sueldo,queria saber si la cuenta estaba habilitada para retirar anticipo de salario
quiero guardar mi plata en el banco que tengo que hacer,Cat_39,Quiero mantener mi dinero en el banco que tengo que hacer,quiero guardar mi plata en el banco que tengo que hacer,quiero mantener mi dinero en el banco que tengo que hacer
bajo producto banco,Cat_41,bajo producto bancario,bajo producto banco,bajo producto bancario
que sistemas de amortizacion hay?,Cat_252,¿Qué sistemas de amortización hay?,que sistemas de amortizacion hay,que sistemas de amortizacion hay
quiero saber porque no m llega el resumen d mi tarjeta,Cat_138,Quiero saber por qué no llega el resumen de mi tarjeta,quiero saber porque no m llega el resumen d mi tarjeta,quiero saber por que no llega el resumen de mi tarjeta
cómo hago para elegir otra cuenta como primaria?,Cat_52,¿Cómo elijo otra cuenta principal?,como hago para elegir otra cuenta como primaria,como elijo otra cuenta principal
cayo un rayo y se apagaron el led y la play station y no volvieron a encender. como procedo con el reclamo?,Cat_265,Cayó un rayo y el led y la estación de juegos se apagaron y no se encendieron. ¿Cómo procedo con el reclamo?,cayo un rayo y se apagaron el led y la play station y no volvieron a encender como procedo con el reclamo,cayo un rayo y el led y la estacion de juegos se apagaron y no se encendieron como procedo con el reclamo
puedo girar dinero de mi cuenta a españa?,Cat_36,¿Puedo transferir dinero de mi cuenta a España?,puedo girar dinero de mi cuenta a espana,puedo transferir dinero de mi cuenta a espana
queria saber si la tarjeta priority pass lleva alguna costo,Cat_284,Quería saber si la tarjeta de pase prioritario tiene algún costo,queria saber si la tarjeta priority pass lleva alguna costo,queria saber si la tarjeta de pase prioritario tiene algun costo
habilitar tarjeta de ccredito para viaje al exterior,Cat_304,habilitar la tarjeta de crédito para viajar al extranjero,habilitar tarjeta de ccredito para viaje al exterior,habilitar la tarjeta de credito para viajar al extranjero
quisiera saber si se puede anular un pago que realice con la tarjeta de débito,Cat_281,Me gustaría saber si puede cancelar un pago que realice con su tarjeta de débito,quisiera saber si se puede anular un pago que realice con la tarjeta de debito,me gustaria saber si puede cancelar un pago que realice con su tarjeta de debito
hice un rescate parcial y el saldo restante que me figura en el fondo es incorrecto!!!!,Cat_172,¡Realicé un reembolso parcial y el saldo restante en el fondo es incorrecto!,hice un rescate parcial y el saldo restante que me figura en el fondo es incorrecto,realice un reembolso parcial y el saldo restante en el fondo es incorrecto
el prestamo hipotecario es en dolares o pesos,Cat_225,el préstamo hipotecario es en dólares o pesos,el prestamo hipotecario es en dolares o pesos,el prestamo hipotecario es en dolares o pesos
certificar firma,Cat_94,certificar firma,certificar firma,certificar firma
debito santander pago comprar superior,Cat_303,débito santander pago comprar superior,debito santander pago comprar superior,debito santander pago comprar superior
ya tengo otros prestamos en el banco cuando me dan de hipoteca,Cat_218,Ya tengo otros préstamos en el banco cuando me dan una hipoteca,ya tengo otros prestamos en el banco cuando me dan de hipoteca,ya tengo otros prestamos en el banco cuando me dan una hipoteca
cual es la tasa de prestamos personales?,Cat_258,¿Cuál es la tasa de préstamos personales?,cual es la tasa de prestamos personales,cual es la tasa de prestamos personales
como puedo abrir una cuenta en el banco,Cat_39,¿Cómo puedo abrir una cuenta bancaria?,como puedo abrir una cuenta en el banco,como puedo abrir una cuenta bancaria
necesito un préstamo hipotecario del total del valor de la vivienda es posible?,Cat_245,"Necesito un préstamo hipotecario del valor total de la casa, ¿es posible?",necesito un prestamo hipotecario del total del valor de la vivienda es posible,necesito un prestamo hipotecario del valor total de la casa es posible
aumentar limite sacar plata cajero,Cat_287,aumentar límite retirar efectivo ATM,aumentar limite sacar plata cajero,aumentar limite retirar efectivo atm
necesitar saber pasar reposicion tarjeta credito amex,Cat_293,necesita saber cómo reemplazar la tarjeta de crédito amex,necesitar saber pasar reposicion tarjeta credito amex,necesita saber como reemplazar la tarjeta de credito amex
como realizo extracciones sin tarjeta de debito,Cat_295,¿Cómo hago retiros sin una tarjeta de débito?,como realizo extracciones sin tarjeta de debito,como hago retiros sin una tarjeta de debito
necesito generar el debin en homebankin. no se como generarlo,Cat_54,Necesito generar el débito en homebankin. No se como generarlo,necesito generar el debin en homebankin no se como generarlo,necesito generar el debito en homebankin no se como generarlo
tengo adherida la tarjeta al debito y quiero darlo de baja,Cat_345,Tengo la tarjeta de débito adjunta y quiero cancelarla,tengo adherida la tarjeta al debito y quiero darlo de baja,tengo la tarjeta de debito adjunta y quiero cancelarla
cuando pago la primera cuota del hipotecario?,Cat_259,¿Cuándo pago el primer pago de la hipoteca?,cuando pago la primera cuota del hipotecario,cuando pago el primer pago de la hipoteca
donde certifico mi firma,Cat_94,donde certifico mi firma,donde certifico mi firma,donde certifico mi firma
quiero cambiarme de sucursal,Cat_65,Quiero cambiar mi sucursal,quiero cambiarme de sucursal,quiero cambiar mi sucursal
tarjeta debito no enviar,Cat_293,tarjeta de débito no envíe,tarjeta debito no enviar,tarjeta de debito no envie
estoy queriendo depositar un cheque del exterior cómo tengo que hacer?,Cat_30,"Quiero depositar un cheque desde el extranjero, ¿cómo debo hacerlo?",estoy queriendo depositar un cheque del exterior como tengo que hacer,quiero depositar un cheque desde el extranjero como debo hacerlo
crear clave bloquear,Cat_1,crear bloqueo de teclas,crear clave bloquear,crear bloqueo de teclas
quiero saber cuales fueron los ultimos ingresos en mi caja,Cat_50,Quiero saber cuáles fueron los últimos ingresos en mi caja,quiero saber cuales fueron los ultimos ingresos en mi caja,quiero saber cuales fueron los ultimos ingresos en mi caja
hasta que hora puedo depositar cheques por autoservicio?,Cat_110,¿Hasta qué hora puedo depositar cheques para autoservicio?,hasta que hora puedo depositar cheques por autoservicio,hasta que hora puedo depositar cheques para autoservicio
quiero saber si puedo disponer de un prestamo personal,Cat_248,Quiero saber si puedo tener un préstamo personal,quiero saber si puedo disponer de un prestamo personal,quiero saber si puedo tener un prestamo personal
sucursal tarjeta credito american express,Cat_293,sucursal tarjeta de crédito american express,sucursal tarjeta credito american express,sucursal tarjeta de credito american express
conocer saldo tarjeta,Cat_303,saber el saldo de la tarjeta,conocer saldo tarjeta,saber el saldo de la tarjeta
quiero una reimpresión de mi tarjeta santander,Cat_316,Quiero una reimpresión de mi tarjeta santander,quiero una reimpresion de mi tarjeta santander,quiero una reimpresion de mi tarjeta santander
como entrar pagar vep afip,Cat_132,cómo ingresar pay vep afip,como entrar pagar vep afip,como ingresar pay vep afip
debito automatico servicio,Cat_132,servicio de débito automático,debito automatico servicio,servicio de debito automatico
deposite un cheque hace dos dias y no me lo acreditaron?,Cat_109,¿Deposité un cheque hace dos días y no me acreditaron?,deposite un cheque hace dos dias y no me lo acreditaron,deposite un cheque hace dos dias y no me acreditaron
hasta que hora se puede realizar un deposito en efectivo por cajero automatico de la sucursal,Cat_110,hasta qué hora puede hacer un depósito en efectivo en el cajero automático de la sucursal,hasta que hora se puede realizar un deposito en efectivo por cajero automatico de la sucursal,hasta que hora puede hacer un deposito en efectivo en el cajero automatico de la sucursal
hace dos semanas me entregaron una tarjeta de credito y debito santander rios. y queria saber si estan activas,Cat_301,Hace dos semanas me dieron una tarjeta de crédito y débito santander rios. y quería saber si están activos,hace dos semanas me entregaron una tarjeta de credito y debito santander rios y queria saber si estan activas,hace dos semanas me dieron una tarjeta de credito y debito santander rios y queria saber si estan activos
puntos de canje de puntos?,Cat_322,puntos de canje de puntos?,puntos de canje de puntos,puntos de canje de puntos
cuándo devuelve amortización,Cat_158,cuando pagas,cuando devuelve amortizacion,cuando pagas
plata sacar cajero extranjero,Cat_303,plata sacar cajero extranjero,plata sacar cajero extranjero,plata sacar cajero extranjero
bloquear tarjeta codigo incorrecto,Cat_286,bloquear el código incorrecto de la tarjeta,bloquear tarjeta codigo incorrecto,bloquear el codigo incorrecto de la tarjeta
olvide mi clave. como puedo blanquearla?,Cat_1,Olvidé mi contraseña. ¿Cómo puedo blanquearlo?,olvide mi clave como puedo blanquearla,olvide mi contrasena como puedo blanquearlo
kiero saver el resumen de mi tarjeta k no me llegue la boleta,Cat_138,Quiero saber el resumen de mi tarjeta de que la boleta no me llega,kiero saver el resumen de mi tarjeta k no me llegue la boleta,quiero saber el resumen de mi tarjeta de que la boleta no me llega
encontrar item resumen cobrar pago,Cat_112,encontrar resumen del artículo cobrar pago,encontrar item resumen cobrar pago,encontrar resumen del articulo cobrar pago
podes averiguar si ya me envíaron la tarjeta,Cat_293,puedes averiguar si me enviaron la tarjeta,podes averiguar si ya me enviaron la tarjeta,puedes averiguar si me enviaron la tarjeta
me gustaria saber cuando saldra el resultado de emprendedor x,Cat_358,Me gustaría saber cuándo saldrá el resultado del empresario x,me gustaria saber cuando saldra el resultado de emprendedor x,me gustaria saber cuando saldra el resultado del empresario x
quiero dar de baja el debito automatico de claro,Cat_292,"Quiero cancelar el débito automático, por supuesto.",quiero dar de baja el debito automatico de claro,quiero cancelar el debito automatico por supuesto
si cambio la prenda cambia el préstamo?,Cat_255,"Si cambio la promesa, ¿cambiará el préstamo?",si cambio la prenda cambia el prestamo,si cambio la promesa cambiara el prestamo
¿puedo pedir el préstamo para comprar una vivienda prefabricada?,Cat_214,¿Puedo pedir prestado para comprar una casa prefabricada?,puedo pedir el prestamo para comprar una vivienda prefabricada,puedo pedir prestado para comprar una casa prefabricada
notificar viajar tener problema debitar afuera,Cat_289,notificar a los viajeros que tienen problemas para cargar fuera,notificar viajar tener problema debitar afuera,notificar a los viajeros que tienen problemas para cargar fuera
quiero dar de baja 365,Cat_280,Quiero cancelar 365,quiero dar de baja number,quiero cancelar number
cuando cobro mi jubilación,Cat_37,cuando cobro mi jubilación,cuando cobro mi jubilacion,cuando cobro mi jubilacion
cancelar anticipar tarjeta,Cat_342,cancelar anticipar tarjeta,cancelar anticipar tarjeta,cancelar anticipar tarjeta
como se calculan los intereses mensuales del préstamo?,Cat_258,¿Cómo se calculan los intereses mensuales del préstamo?,como se calculan los intereses mensuales del prestamo,como se calculan los intereses mensuales del prestamo
quiero averiguar si estoy sumando millas de american airlines,Cat_275,Quiero saber si estoy agregando millas de American Airlines,quiero averiguar si estoy sumando millas de american airlines,quiero saber si estoy agregando millas de american airlines
si utilizo el acuerdo de sobregiro  que tasa me cobran?,Cat_56,"Si uso el acuerdo de sobregiro, ¿qué tarifa me cobrarán?",si utilizo el acuerdo de sobregiro que tasa me cobran,si uso el acuerdo de sobregiro que tarifa me cobraran
quiero saber cómo hacer para cobrar las ganancias de las acciones,Cat_153,Quiero saber cómo cobrar las ganancias de las acciones,quiero saber como hacer para cobrar las ganancias de las acciones,quiero saber como cobrar las ganancias de las acciones
cargar celular,Cat_132,célula de carga,cargar celular,celula de carga
no soy cliente como puedo averiguar por un prestamos,Cat_248,"No soy cliente, ¿cómo puedo averiguarlo a través de un préstamo?",no soy cliente como puedo averiguar por un prestamos,no soy cliente como puedo averiguarlo a traves de un prestamo
cual es tu nacionalidad?,Cat_15,¿cual es tu nacionalidad?,cual es tu nacionalidad,cual es tu nacionalidad
usar debitar exterior,Cat_289,usar débito fuera,usar debitar exterior,usar debito fuera
nunca trabajé en relacion de dependencia puedo acceder a esta linea de préstamos hipotecarios?,Cat_248,Nunca trabajé en una relación de dependencia. ¿Puedo acceder a esta línea de préstamos hipotecarios?,nunca trabaje en relacion de dependencia puedo acceder a esta linea de prestamos hipotecarios,nunca trabaje en una relacion de dependencia puedo acceder a esta linea de prestamos hipotecarios
hacer debito automatico,Cat_87,hacer débito automático,hacer debito automatico,hacer debito automatico
me podrán dar información de un préstamo personal,Cat_225,¿me puede dar información sobre un préstamo personal?,me podran dar informacion de un prestamo personal,me puede dar informacion sobre un prestamo personal
que pasa con el préstamo si cambio y compro otra prenda?,Cat_255,¿Qué pasa con el préstamo si me cambio y compro otra prenda?,que pasa con el prestamo si cambio y compro otra prenda,que pasa con el prestamo si me cambio y compro otra prenda
¿dan ccreditos para la compra de terreno?,Cat_228,¿Dan créditos por la compra de tierras?,dan ccreditos para la compra de terreno,dan creditos por la compra de tierras
se me gastó la banda  donde pido un reemplazo de la tarjeta?,Cat_316,Me quedé sin la banda donde solicito un reemplazo de tarjeta?,se me gasto la banda donde pido un reemplazo de la tarjeta,me quede sin la banda donde solicito un reemplazo de tarjeta
cargué mi tarjeta redbus y no se acreditó el saldo.,Cat_129,Cargué mi tarjeta de redbus y el saldo no fue acreditado.,cargue mi tarjeta redbus y no se acredito el saldo,cargue mi tarjeta de redbus y el saldo no fue acreditado
saber si deposito lo q pueda de mi deuda y lo q me quede lo puedo pagar en veces,Cat_120,"saber si deposito lo que puedo de mi deuda y lo que me queda, a veces puedo pagar",saber si deposito lo q pueda de mi deuda y lo q me quede lo puedo pagar en veces,saber si deposito lo que puedo de mi deuda y lo que me queda a veces puedo pagar
para pedir la tarjeta de debito,Cat_39,para solicitar la tarjeta de débito,para pedir la tarjeta de debito,para solicitar la tarjeta de debito
me informaron que mi solicitud por reimpresion d tarjeta de debito estaba en marcha. no tengo novedades.,Cat_293,Me informaron que mi solicitud de reimpresión de la tarjeta de débito estaba en curso. No tengo noticias,me informaron que mi solicitud por reimpresion d tarjeta de debito estaba en marcha no tengo novedades,me informaron que mi solicitud de reimpresion de la tarjeta de debito estaba en curso no tengo noticias
como hago para que me llamen para sacarme la tarjeta,Cat_337,¿Cómo consigo que me llamen para obtener mi tarjeta?,como hago para que me llamen para sacarme la tarjeta,como consigo que me llamen para obtener mi tarjeta
¿como utilizo mi tarjeta de débito por primera vez en un cajero?,Cat_288,¿Cómo uso mi tarjeta de débito por primera vez en un cajero automático?,como utilizo mi tarjeta de debito por primera vez en un cajero,como uso mi tarjeta de debito por primera vez en un cajero automatico
el numero de la super linea,Cat_147,el número de la súper línea,el numero de la super linea,el numero de la super linea
se venció mi tarjeta de débito y quisiera renovarla,Cat_316,mi tarjeta de débito venció y me gustaría renovarla,se vencio mi tarjeta de debito y quisiera renovarla,mi tarjeta de debito vencio y me gustaria renovarla
¿qué es el pago mínimo de mi tarjeta santander crédito?,Cat_351,¿Cuál es el pago mínimo de mi tarjeta de crédito santander?,que es el pago minimo de mi tarjeta santander credito,cual es el pago minimo de mi tarjeta de credito santander
enviaron mensaje deuda tarjeta,Cat_193,enviaron un mensaje de tarjeta de débito,enviaron mensaje deuda tarjeta,enviaron un mensaje de tarjeta de debito
quiero saber si califico para un credito prendario,Cat_248,Quiero saber si califico para un crédito de compromiso,quiero saber si califico para un credito prendario,quiero saber si califico para un credito de compromiso
clave resumen por mail,Cat_138,clave de resumen por correo electrónico,clave resumen por mail,clave de resumen por correo electronico
no puedo resctar el dinero de mi fondo común de inversión porque me dice que estoy fuera de horario pero estoy dentro del horario de operación del fondo.,Cat_172,No puedo retirar el dinero de mi fondo mutuo porque me dice que estoy fuera de horario pero que estoy en el horario de operación del fondo.,no puedo resctar el dinero de mi fondo comun de inversion porque me dice que estoy fuera de horario pero estoy dentro del horario de operacion del fondo,no puedo retirar el dinero de mi fondo mutuo porque me dice que estoy fuera de horario pero que estoy en el horario de operacion del fondo
no puedo rescatar fondos comunes de inversion en pesos,Cat_172,No puedo rescatar fondos mutuos en pesos,no puedo rescatar fondos comunes de inversion en pesos,no puedo rescatar fondos mutuos en pesos
como hago para habilitar assist carde de visa gold,Cat_282,¿Cómo habilito la tarjeta Visa Gold Assistance?,como hago para habilitar assist carde de visa gold,como habilito la tarjeta visa gold assistance
deuda tarjeta,Cat_99,tarjeta de deuda,deuda tarjeta,tarjeta de deuda
las extracciones en bancos que no sean santander. tienen recargo?,Cat_96,retiros en bancos distintos de Santander. ¿Tienen un recargo?,las extracciones en bancos que no sean santander tienen recargo,retiros en bancos distintos de santander tienen un recargo
necesito que me cambien las entradas que me mandaron porque no son una al lado de otra,Cat_324,Necesito cambiar los boletos que me enviaron porque no están uno al lado del otro,necesito que me cambien las entradas que me mandaron porque no son una al lado de otra,necesito cambiar los boletos que me enviaron porque no estan uno al lado del otro
hice un canje en superclub y el producto llegue roto,Cat_329,Hice un intercambio en el superclub y el producto llega roto,hice un canje en superclub y el producto llegue roto,hice un intercambio en el superclub y el producto llega roto
pago de tarjeta quiero suspender el debito automatico,Cat_345,pago con tarjeta quiero suspender el débito automático,pago de tarjeta quiero suspender el debito automatico,pago con tarjeta quiero suspender el debito automatico
que pasa si luego del credito hipotecario dejo de ser cliente del banco,Cat_238,¿Qué sucede si después del préstamo hipotecario dejo de ser cliente del banco?,que pasa si luego del credito hipotecario dejo de ser cliente del banco,que sucede si despues del prestamo hipotecario dejo de ser cliente del banco
cuándo corta cupón,Cat_158,cuando se corta el cupón,cuando corta cupon,cuando se corta el cupon
necesito informacion sobre los bonos para invertir,Cat_159,Necesito información sobre los bonos para invertir.,necesito informacion sobre los bonos para invertir,necesito informacion sobre los bonos para invertir
cuantas veces puedo solicitar la tasacion?,Cat_216,¿Cuántas veces puedo solicitar la tasación?,cuantas veces puedo solicitar la tasacion,cuantas veces puedo solicitar la tasacion
descontar importar tarjeta credito vencia,Cat_38,descuento de vencimiento de tarjeta de crédito de importación,descontar importar tarjeta credito vencia,descuento de vencimiento de tarjeta de credito de importacion
en la página no aparecen las promociones en punta del este,Cat_311,las promociones en punta del este no aparecen en la página,en la pagina no aparecen las promociones en punta del este,las promociones en punta del este no aparecen en la pagina
puedo comprar dolares por homebaking los fines de semana? o solo los dias hábiles?,Cat_166,¿Puedo comprar dólares para la banca en casa los fines de semana? o solo en días hábiles?,puedo comprar dolares por homebaking los fines de semana o solo los dias habiles,puedo comprar dolares para la banca en casa los fines de semana o solo en dias habiles
lo que quiero saber es a quien reclamo,Cat_135,lo que quiero saber es a quién reclamo,lo que quiero saber es a quien reclamo,lo que quiero saber es a quien reclamo
quiero saber mi sucursal de radicacion,Cat_100,Quiero saber mi rama de archivo,quiero saber mi sucursal de radicacion,quiero saber mi rama de archivo
transferir caja ahorro unica,Cat_83,transferir caja de ahorros única,transferir caja ahorro unica,transferir caja de ahorros unica
querer pagar parcial tarjeta visa,Cat_342,quiere pagar una tarjeta de visa parcial,querer pagar parcial tarjeta visa,quiere pagar una tarjeta de visa parcial
en las sucursales del banco venden divisas como pesos chilenos?,Cat_166,"en las sucursales del banco, ¿venden divisas como pesos chilenos?",en las sucursales del banco venden divisas como pesos chilenos,en las sucursales del banco venden divisas como pesos chilenos
consulta consumo tc amex,Cat_355,consultar consumo tc amex,consulta consumo tc amex,consultar consumo tc amex
no puedo acceder x la web,Cat_117,No puedo acceder a la web,no puedo acceder x la web,no puedo acceder a la web
no me realizaron el débito de litoral gas,Cat_129,No hice el débito del gas costero,no me realizaron el debito de litoral gas,no hice el debito del gas costero
quiero ingresar a online banking y me dice que tienen un problema,Cat_117,Quiero ingresar a la banca en línea y me dice que tienen un problema,quiero ingresar a online banking y me dice que tienen un problema,quiero ingresar a la banca en linea y me dice que tienen un problema
si uso un voucher en un local y además hay promociones con las tarjetas se suman los beneficios?,Cat_311,"Si uso un cupón en una tienda y también hay promociones con las tarjetas, ¿se suman los beneficios?",si uso un voucher en un local y ademas hay promociones con las tarjetas se suman los beneficios,si uso un cupon en una tienda y tambien hay promociones con las tarjetas se suman los beneficios
si agrego cuatro servicios al debito de tarjeta exactamente que se me bonifica y por cuanto tiempo?,Cat_311,"Si agrego cuatro servicios al débito de la tarjeta, ¿qué se deducirá exactamente y por cuánto tiempo?",si agrego cuatro servicios al debito de tarjeta exactamente que se me bonifica y por cuanto tiempo,si agrego cuatro servicios al debito de la tarjeta que se deducira exactamente y por cuanto tiempo
me mandaron una tarjeta a mi casa  ya la puedo usar?,Cat_301,Me enviaron una tarjeta a mi casa y ¿puedo usarla?,me mandaron una tarjeta a mi casa ya la puedo usar,me enviaron una tarjeta a mi casa y puedo usarla
tengo que llamar por telefono para poder hacer uso del open credit,Cat_198,Tengo que llamar por teléfono para poder usar el crédito abierto,tengo que llamar por telefono para poder hacer uso del open credit,tengo que llamar por telefono para poder usar el credito abierto
quiero reclamar que me están cobrando el seguro del saldo deudor.,Cat_319,Quiero reclamar que me están cobrando el seguro del saldo deudor.,quiero reclamar que me estan cobrando el seguro del saldo deudor,quiero reclamar que me estan cobrando el seguro del saldo deudor
donde esta enviar reimpresión,Cat_293,donde enviar reimpresión,donde esta enviar reimpresion,donde enviar reimpresion
como descargo trustee,Cat_6,cómo descargar el administrador,como descargo trustee,como descargar el administrador
desbloquear homebanking,Cat_1,desbloquear homebanking,desbloquear homebanking,desbloquear homebanking
tengo un atraso en el pago y voy a regularizar,Cat_191,Tengo un retraso en el pago y lo regularizaré,tengo un atraso en el pago y voy a regularizar,tengo un retraso en el pago y lo regularizare
avisarles q ya pague el monto de pesos,Cat_195,diles que ya pagué la cantidad de pesos,avisarles q ya pague el monto de pesos,diles que ya pague la cantidad de pesos
cómo hago para abrir una cuenta en santader?,Cat_39,¿Cómo puedo abrir una cuenta en Santander?,como hago para abrir una cuenta en santader,como puedo abrir una cuenta en santander
cliente tarjeta credito,Cat_337,tarjeta de crédito del cliente,cliente tarjeta credito,tarjeta de credito del cliente
sino tengo ingresos puedo pedir el prestamo?,Cat_249,"Si no tengo ingresos, ¿puedo solicitar el préstamo?",sino tengo ingresos puedo pedir el prestamo,si no tengo ingresos puedo solicitar el prestamo
desde este mes me cobran comision por servicio de cuenta,Cat_97,a partir de este mes me cobran comisión por servicio de cuenta,desde este mes me cobran comision por servicio de cuenta,a partir de este mes me cobran comision por servicio de cuenta
queria dar de baja la tarjeta de ccredito por su alto costo en la renovación,Cat_338,Quería cancelar la tarjeta de crédito debido a su alto costo de renovación,queria dar de baja la tarjeta de ccredito por su alto costo en la renovacion,queria cancelar la tarjeta de credito debido a su alto costo de renovacion
necesitoia saber los requisitos para abrir una caja de ahorros soy monotributista,Cat_39,Necesito saber los requisitos para abrir una caja de ahorros. Soy un monotributista.,necesitoia saber los requisitos para abrir una caja de ahorros soy monotributista,necesito saber los requisitos para abrir una caja de ahorros soy un monotributista
querer adherir luz tarjeta,Cat_132,querer adherir tarjeta de luz,querer adherir luz tarjeta,querer adherir tarjeta de luz
solicitar tarjeta no llegar,Cat_293,solicitar tarjeta no llega,solicitar tarjeta no llegar,solicitar tarjeta no llega
necesito informacion adherir servicios a debito automatico,Cat_132,Necesito información para agregar servicios al débito automático,necesito informacion adherir servicios a debito automatico,necesito informacion para agregar servicios al debito automatico
